user_id, ip_addr, ts
1, 127.0.0.1, 17:51:59
2, 127.0.0.1, 17:52:59
1, 127.0.0.1, 17:52:59
1, 127.0.0.2, 17:53:59
2, 127.0.0.2, 17:54:59
2, 127.0.0.3, 17:55:59
3, 127.0.0.3, 17:55:59
3, 127.0.0.1, 17:56:59
4, 127.0.0.1, 17:57:59
1, 127.0.0.1, 17:51:60
2, 127.0.0.1, 17:52:60
1, 127.0.0.1, 17:52:60
1, 127.0.0.2, 17:53:60
2, 127.0.0.2, 17:54:60
2, 127.0.0.3, 17:55:60
3, 127.0.0.3, 17:55:60
3, 127.0.0.1, 17:56:60
4, 127.0.0.1, 17:57:60
1, 127.0.0.1, 17:51:61
2, 127.0.0.1, 17:52:61
1, 127.0.0.1, 17:52:61
1, 127.0.0.2, 17:53:61
1, 127.0.0.1, 17:51:60
2, 127.0.0.1, 17:52:60
1, 127.0.0.1, 17:52:60
1, 127.0.0.2, 17:53:60
2, 127.0.0.2, 17:54:60
2, 127.0.0.3, 17:55:60
3, 127.0.0.3, 17:55:60
3, 127.0.0.1, 17:56:60
4, 127.0.0.1, 17:57:60
1, 127.0.0.1, 17:51:61
2, 127.0.0.1, 17:52:61
1, 127.0.0.1, 17:52:61
1, 127.0.0.2, 17:53:61
1, 127.0.0.1, 17:51:60
2, 127.0.0.1, 17:52:60
1, 127.0.0.1, 17:52:60
1, 127.0.0.2, 17:53:60
2, 127.0.0.2, 17:54:60
2, 127.0.0.3, 17:55:60
3, 127.0.0.3, 17:55:60
3, 127.0.0.1, 17:56:60
4, 127.0.0.1, 17:57:60
1, 127.0.0.1, 17:51:61
2, 127.0.0.1, 17:52:61
1, 127.0.0.1, 17:52:61
1, 127.0.0.2, 17:53:61
2, 127.0.0.2, 17:54:61
2, 127.0.0.3, 17:55:61
3, 127.0.0.3, 17:55:61
3, 127.0.0.1, 17:56:61
4, 127.0.0.1, 17:57:61
1, 127.0.0.1, 17:51:62
2, 127.0.0.1, 17:52:62
1, 127.0.0.1, 17:52:62
1, 127.0.0.2, 17:53:62
1, 127.0.0.1, 17:51:61
2, 127.0.0.1, 17:52:61
1, 127.0.0.1, 17:52:61
1, 127.0.0.2, 17:53:61
2, 127.0.0.2, 17:54:61
2, 127.0.0.3, 17:55:61
3, 127.0.0.3, 17:55:61
3, 127.0.0.1, 17:56:61
4, 127.0.0.1, 17:57:61
1, 127.0.0.1, 17:51:62
2, 127.0.0.1, 17:52:62
1, 127.0.0.1, 17:52:62
1, 127.0.0.2, 17:53:62
1, 127.0.0.1, 17:51:61
2, 127.0.0.1, 17:52:61
1, 127.0.0.1, 17:52:61
1, 127.0.0.2, 17:53:61
2, 127.0.0.2, 17:54:61
2, 127.0.0.3, 17:55:61
3, 127.0.0.3, 17:55:61
3, 127.0.0.1, 17:56:61
4, 127.0.0.1, 17:57:61
1, 127.0.0.1, 17:51:62
2, 127.0.0.1, 17:52:62
1, 127.0.0.1, 17:52:62
1, 127.0.0.2, 17:53:62
2, 127.0.0.2, 17:54:62
2, 127.0.0.3, 17:55:62
3, 127.0.0.3, 17:55:62
3, 127.0.0.1, 17:56:62
4, 127.0.0.1, 17:57:62
1, 127.0.0.1, 17:51:63
2, 127.0.0.1, 17:52:63
1, 127.0.0.1, 17:52:63
1, 127.0.0.2, 17:53:63
1, 127.0.0.1, 17:51:62
2, 127.0.0.1, 17:52:62
1, 127.0.0.1, 17:52:62
1, 127.0.0.2, 17:53:62
2, 127.0.0.2, 17:54:62
2, 127.0.0.3, 17:55:62
3, 127.0.0.3, 17:55:62
3, 127.0.0.1, 17:56:62
4, 127.0.0.1, 17:57:62
1, 127.0.0.1, 17:51:63
2, 127.0.0.1, 17:52:63
1, 127.0.0.1, 17:52:63
1, 127.0.0.2, 17:53:63
1, 127.0.0.1, 17:51:62
2, 127.0.0.1, 17:52:62
1, 127.0.0.1, 17:52:62
1, 127.0.0.2, 17:53:62
2, 127.0.0.2, 17:54:62
2, 127.0.0.3, 17:55:62
3, 127.0.0.3, 17:55:62
3, 127.0.0.1, 17:56:62
4, 127.0.0.1, 17:57:62
1, 127.0.0.1, 17:51:63
2, 127.0.0.1, 17:52:63
1, 127.0.0.1, 17:52:63
1, 127.0.0.2, 17:53:63
2, 127.0.0.2, 17:54:63
2, 127.0.0.3, 17:55:63
3, 127.0.0.3, 17:55:63
3, 127.0.0.1, 17:56:63
4, 127.0.0.1, 17:57:63
1, 127.0.0.1, 17:51:64
2, 127.0.0.1, 17:52:64
1, 127.0.0.1, 17:52:64
1, 127.0.0.2, 17:53:64
1, 127.0.0.1, 17:51:63
2, 127.0.0.1, 17:52:63
1, 127.0.0.1, 17:52:63
1, 127.0.0.2, 17:53:63
2, 127.0.0.2, 17:54:63
2, 127.0.0.3, 17:55:63
3, 127.0.0.3, 17:55:63
3, 127.0.0.1, 17:56:63
4, 127.0.0.1, 17:57:63
1, 127.0.0.1, 17:51:64
2, 127.0.0.1, 17:52:64
